text,label
"It’s one of those movies thats great to watch while high on cannabis. Gunkata makes so much more sense that way. Similar to Ultra Violet which is another good one.",Opinion / Hot Take
"Yeah this is lose-lose. Either they follow in the footsteps of the original movie and it won’t be nearly as good, or they play it straight and it still sucks because you can’t capture the nuances of the book in a two hour action sci-fi flick",Opinion / Hot Take
"Hope this gets shelved. I would rather have another animated sequel than a Blomkamp remake",Opinion / Hot Take
"Parable of the Sower and Parable of the Talents tell the story of an oligarchical economic collapse in the US and the rise of a Christian Nationalist political platform whose slogan was, 'Make America Great Again.'",Analysis
"I'm reading Kurt Vonnegut's Player Piano right now. It's pretty spot on to my more rational fears / societal challenges around automation and AI. Although, he failed to see how good computers were going to become at natural language.",Analysis
"I love golden age sci fi because everyone knew the internet was coming but every author had a slightly different idea of what it would be and how it would work, and you end up with insane terminology like 'fatline squirt' lol",Interpretation
"There are no prophetic anything. Someone writes something. Someone else thinks it sounds cool and decides to make it. That's all that's going on.",Interpretation
"In another sub that had an image of a horse fly impaled on a bit of barbed wire by a bird called a Shrike, I commented that I read Hyperion years ago which of course has the Shrike in it which I believe impaled people. How odd.",Reaction
"You are in for a ride!! I started the Children of Time series after finishing the Cantos. For a good 2-3 days initially I could not concentrate on Children of Time and kept mixing up characters or scenes from the Cantos in my imagination.",Reaction
"These books are some of the worst I’ve ever read and I’ve read some doozies. Still, it amazes me how others I know that share similar tastes find them amazing. Kudos to Simmons, he could come up with interesting concepts and create memorable characters, even if he couldn’t weave a coherent plot or stop himself from writing pretentious love letters to Keats and others throughout his works.",Opinion / Hot Take
"The Day of the Triffids is a classic sci-fi. Instead of becoming entranced, all the lookers become blind, and there are other endangering circumstances. The book follows someone who didnt look. So not quite your topic, but some of the themes.",Analysis
"Historically (not saying that its true) I want to say there was something in Lourdes and maybe something to do with Emperor Constantine, who claimed to see the Constantine Cross (in this sign I will conquer) both involving people seeing things in the sky, though I dont know about a trance.",Analysis
"Starting off, for some reason I believe romance is generally considerably better written in sci-fi than the likes of fantasy, comedies, etc. Maybe its the beautiful vistas that otherwordly planets can afford, or the unique character traits that other genres can't realistcally cover.",Interpretation
"Imagining possible futures, both good and bad. Stretching imaginations. “Sensawunder“ (sense of wonder). Encouraging outside-the-box thinking. Examining the human condition in circumstances that don’t presently obtain.",Interpretation
"What I always liked is that scifi can turn abstract ideas or philosophical theories into narratives that explain a difficult idea in a much more intuitive way. You probably still don't fully understand how it works, but you know what it looks and feels like",Interpretation
"Edge of Tomorrow and Oblivion are my favs.",Opinion / Hot Take
"The guy has his issues, but he puts out good movies generally. He's very dedicated and passionate about the craft.",Opinion / Hot Take
"Edge of Tomorrow is exceptionally good. I think he's been in some stinkers like Oblivion. It was just pretty meh. One thing about Tom Cruise is he gives it his all but sometimes that's not enough if everyone else is just phoning it in.",Opinion / Hot Take
"The Mitchell's vs the machines was such a pleasant surprise of a movie. I tossed it on for the kids one day with 0 thought, ended up being totally absorbed by it",Reaction
"The Orville starts out as goofy Star Trek parody, quickly turns into a quirky yet excellent different version of Star Trek. Seriously, it turns out way better than it has any right to be after the first few episodes.",Interpretation
"I played the Westwood RTS games before I saw the movies or read the book so I was so confused. The games premise is that the Houses fight each other for territory on Arrakis in a sort of giant gladiatorial fight and as long as they give the spice they harvest in the territory they control to the emperor they get money and favour. Not at all like the book where its just a transfer of a fiefdom gone bloody.",Analysis
"Spectacular work, and such a dynamic composition! Keeps your eye moving around and discovering new details. Your work evokes classic sci-fi / fantasy artists like Michael Whelan, but you’ve got your own thing going on.",Reaction
"Amazing! That movie scared me so much when I was a boy! Thanks for the share.",Reaction
"Lower your expectations for the movie. And then lower them again. I enjoyed it but went in with zero hope.",Opinion / Hot Take
"Yeah, I didn't like The Martian much because of that. It felt almost like something from a Marvel movie.",Opinion / Hot Take
"The Project Hail Mary movie was meh. The book was excellent. The issue with the movie is it's basically just a highlights reel, no real struggle, no hopelessness, no human condition, no work, just payoffs and wins all the way through.",Opinion / Hot Take
"I liked it quite a bit for the scientific mindset and how it related to the plot, but I don't really love the way he writes characters. I still enjoyed the book, but my opinion of it has cooled a little a couple months after reading it.",Opinion / Hot Take